epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.18783,1.99495,5.63355,2.34823,0.09635,0.2619,0.09864,0.06855,1.82666,6.30466,2.80394,3.57e-05,3.57e-05,3.57e-05
2,8.71337,1.82208,5.12679,2.1648,0.40542,0.26867,0.18793,0.08836,1.46442,5.58409,2.51703,7.77625e-05,7.77625e-05,7.77625e-05
3,11.3962,1.66703,3.55931,2.01291,0.27839,0.82143,0.52458,0.33391,1.55618,10.0686,2.34525,0.000118977,0.000118977,0.000118977
4,14.8009,1.54226,2.80231,1.87047,0.49757,0.55952,0.63033,0.33183,1.61783,8.35346,2.24215,0.000159343,0.000159343,0.000159343
5,17.7792,1.42393,2.30432,1.75621,0.45601,0.7381,0.64531,0.2561,1.58684,6.24941,2.28394,0.00019886,0.00019886,0.00019886
6,20.1682,1.44745,2.22479,1.75933,0.77117,0.41129,0.54367,0.31046,1.55264,4.70329,2.29723,0.00023753,0.00023753,0.00023753
7,22.573,1.40817,1.96342,1.69595,0.73206,0.68076,0.79596,0.53265,1.49174,3.03841,2.16597,0.000275351,0.000275351,0.000275351
8,25.0339,1.47054,2.00042,1.75213,0.89713,0.67352,0.82595,0.58966,1.30369,2.59923,2.03935,0.000312324,0.000312324,0.000312324
9,28.3778,1.5611,1.91926,1.79101,0.89721,0.5075,0.71177,0.41437,1.79692,2.89098,2.64146,0.000348449,0.000348449,0.000348449
10,31.0318,1.44815,1.67471,1.67605,0.76636,0.59524,0.75469,0.32623,2.05415,2.478,3.06742,0.000383726,0.000383726,0.000383726
11,33.6536,1.45563,1.7538,1.72707,0.44638,0.70238,0.53808,0.19357,2.08278,4.61187,3.03848,0.000418154,0.000418154,0.000418154
12,36.1129,1.33826,1.49524,1.67239,0.48763,0.34524,0.36948,0.1682,2.45589,2.58404,3.38338,0.000451734,0.000451734,0.000451734
13,38.6152,1.39247,1.49803,1.69863,0.88626,0.4881,0.58183,0.30641,2.09456,2.15172,3.03176,0.000484466,0.000484466,0.000484466
14,41.9122,1.41353,1.56512,1.70268,0.57189,0.6412,0.67453,0.37888,2.05109,2.02097,3.13296,0.00051635,0.00051635,0.00051635
15,44.7255,1.35187,1.53097,1.69096,0.89435,0.43286,0.53805,0.26613,2.06874,1.84386,3.09333,0.000547385,0.000547385,0.000547385
16,47.087,1.42358,1.47217,1.68094,0.8403,0.40476,0.49372,0.16094,2.32378,2.22145,3.18944,0.000577572,0.000577572,0.000577572
17,49.4348,1.36929,1.51267,1.67004,0.62802,0.58636,0.65056,0.26167,2.06191,2.02647,2.99062,0.000600902,0.000600902,0.000600902
18,51.6727,1.41011,1.34374,1.69586,0.88417,0.57169,0.70652,0.36436,1.84902,1.86866,2.79074,0.000593834,0.000593834,0.000593834
19,54.9196,1.32605,1.29904,1.64704,0.80837,0.57231,0.64424,0.32511,1.88711,2.00779,2.7507,0.000586765,0.000586765,0.000586765
20,57.2818,1.30736,1.31461,1.58698,0.73011,0.50272,0.49639,0.24518,2.17772,2.33986,2.87771,0.000579697,0.000579697,0.000579697
21,59.5666,1.41059,1.32941,1.64116,0.5316,0.72008,0.74007,0.32547,1.84708,2.13823,2.58837,0.000572628,0.000572628,0.000572628
22,61.8748,1.38049,1.3316,1.6666,0.98883,0.3741,0.56302,0.31055,1.90662,2.11505,2.84884,0.000565559,0.000565559,0.000565559
23,64.1333,1.39358,1.38866,1.65464,0.80546,0.45238,0.72678,0.34798,1.86481,2.03274,2.97532,0.000558491,0.000558491,0.000558491
24,67.2761,1.32672,1.1966,1.64225,0.94361,0.55299,0.78977,0.46102,1.84179,1.6948,2.95574,0.000551422,0.000551422,0.000551422
25,69.8762,1.37016,1.16931,1.6718,0.58167,0.56374,0.75999,0.46995,1.77787,1.52763,2.67503,0.000544354,0.000544354,0.000544354
26,72.1575,1.32891,1.28372,1.67389,0.46353,0.83333,0.82986,0.44194,1.72698,1.68113,2.71682,0.000537285,0.000537285,0.000537285
27,74.3876,1.33403,1.12886,1.60568,0.65329,0.69358,0.67201,0.34485,1.88256,2.08925,2.92481,0.000530216,0.000530216,0.000530216
28,76.6879,1.32286,1.23123,1.64288,0.85084,0.39286,0.60328,0.35983,1.91794,2.10665,2.98169,0.000523148,0.000523148,0.000523148
29,79.4696,1.37732,1.3011,1.69357,0.72615,0.69748,0.69798,0.42221,1.93803,1.96592,2.76832,0.000516079,0.000516079,0.000516079
30,82.2686,1.34105,1.21145,1.66205,0.88372,0.84929,0.87733,0.59345,1.45677,1.08949,2.20085,0.000509011,0.000509011,0.000509011
31,84.5888,1.33931,1.16292,1.63304,0.94032,0.67218,0.87732,0.5384,1.51114,1.12748,2.23224,0.000501942,0.000501942,0.000501942
32,86.9663,1.1738,1.01687,1.52546,0.73469,0.66667,0.83492,0.52758,1.51632,1.28556,2.09585,0.000494873,0.000494873,0.000494873
33,89.277,1.22283,1.02658,1.5809,0.6988,0.66667,0.83447,0.45936,1.53562,1.34397,2.14394,0.000487805,0.000487805,0.000487805
34,91.8725,1.35641,1.15461,1.62692,0.66739,0.81016,0.74304,0.51335,1.57877,1.27675,2.37692,0.000480736,0.000480736,0.000480736
35,94.8549,1.30392,1.12747,1.562,0.77011,0.86386,0.78689,0.45906,1.67518,1.2341,2.45571,0.000473668,0.000473668,0.000473668
36,97.2256,1.36841,1.13097,1.65097,0.60265,0.7381,0.8077,0.41193,1.59948,1.16965,2.35674,0.000466599,0.000466599,0.000466599
37,99.499,1.21466,1.06263,1.55336,0.52817,0.88095,0.81662,0.42748,1.6061,1.22815,2.35979,0.00045953,0.00045953,0.00045953
38,101.864,1.251,1.02568,1.55645,0.60013,0.59524,0.64205,0.34389,1.7521,1.34139,2.4194,0.000452462,0.000452462,0.000452462
39,104.292,1.20435,0.98965,1.53827,0.59279,0.55478,0.71682,0.3167,1.83914,1.50966,2.64709,0.000445393,0.000445393,0.000445393
40,107.502,1.10436,0.9589,1.48613,0.57061,0.69914,0.66707,0.33831,1.765,1.47112,2.51386,0.000438325,0.000438325,0.000438325
41,109.807,1.26181,1.12712,1.59669,0.6411,0.77744,0.80702,0.48817,1.601,1.21443,2.34768,0.000431256,0.000431256,0.000431256
42,112.113,1.25192,1.0856,1.54671,0.76909,0.7281,0.8077,0.47422,1.68089,1.16025,2.43958,0.000424187,0.000424187,0.000424187
43,114.449,1.23581,1.0064,1.57379,0.74641,0.8045,0.8583,0.48636,1.67627,1.24505,2.36944,0.000417119,0.000417119,0.000417119
44,116.776,1.23614,0.97455,1.51256,0.75208,0.74006,0.80161,0.44,1.81332,1.32239,2.79162,0.00041005,0.00041005,0.00041005
45,119.94,1.25871,1.01559,1.53255,0.7641,0.74696,0.80853,0.4449,1.82335,1.39191,2.85896,0.000402982,0.000402982,0.000402982
46,122.397,1.1244,0.99423,1.47818,0.82941,0.72619,0.7838,0.3982,1.8625,1.46381,2.8095,0.000395913,0.000395913,0.000395913
47,124.673,1.0907,0.94512,1.46312,0.86197,0.72619,0.7783,0.40632,1.86113,1.53476,2.71378,0.000388844,0.000388844,0.000388844
48,126.98,1.17586,0.90313,1.51831,0.82424,0.74187,0.80571,0.47023,1.79604,1.51517,2.56328,0.000381776,0.000381776,0.000381776
49,129.43,1.21046,0.98606,1.48788,0.77908,0.72619,0.79651,0.40818,1.83538,1.65342,2.651,0.000374707,0.000374707,0.000374707
50,132.169,1.08578,0.89207,1.46563,0.90347,0.75005,0.80633,0.38884,1.87438,1.48943,2.83568,0.000367639,0.000367639,0.000367639
51,135.061,1.08308,0.87804,1.43767,0.88585,0.7619,0.84756,0.41534,1.88495,1.48491,2.90382,0.00036057,0.00036057,0.00036057
52,137.315,1.12359,0.89645,1.46258,0.76667,0.64864,0.75628,0.43786,1.75799,1.15469,2.72111,0.000353501,0.000353501,0.000353501
53,139.545,1.09732,0.88192,1.50788,0.91262,0.77359,0.86277,0.46733,1.75853,1.05552,2.77262,0.000346433,0.000346433,0.000346433
54,141.868,1.21454,0.92108,1.58108,0.82725,0.77381,0.83329,0.4284,1.93391,1.24493,3.0236,0.000339364,0.000339364,0.000339364
